Food,Calories,Protein,Fat,Carbs,Fiber
aloo paratha,321.3,7.1,12.8,43.7,2.3
banana,90.3,1.1,0.3,22.1,2.5
cottage cheese,99.4,10.9,4.3,3.4,0.0
beef pulao,211.4,13.6,7.2,26.9,0.8
milk,61.2,3.1,3.3,5.0,0.0
chana masala,167.9,9.2,2.5,27.9,7.3
chicken tikka,181.1,23.9,8.6,2.0,0.3
dates,279.1,1.9,0.2,74.6,6.5
hummus,169.7,7.7,10.2,16.7,5.8
chana,160.2,8.5,2.6,27.0,7.9
broccoli,32.3,2.9,0.4,6.3,2.6
protein shake,167.7,29.1,3.0,8.0,1.0
milk,59.8,3.2,3.3,4.8,0.0
honey,318.6,0.3,0.0,78.9,0.2
milk,58.1,3.1,3.4,5.0,0.0
kofte,251.4,18.5,16.0,4.9,0.5
oatmeal,153.1,5.8,3.2,25.8,4.1
milk,62.1,3.2,3.4,5.0,0.0
aloo gosht,177.3,13.2,10.3,8.7,1.2
paneer,260.3,18.8,20.8,1.2,0.0
butter chicken,245.9,21.5,14.1,6.0,0.5
kidney beans,128.1,8.6,0.5,23.5,6.5
caesar salad,194.8,7.3,14.7,10.9,2.0
baklava,327.7,5.0,18.7,38.5,1.5
grilled salmon,214.2,20.3,12.9,0.0,0.0
beef pulao,205.4,14.1,6.9,24.9,0.8
samosa,261.8,5.1,14.4,30.8,2.3
black tea,2.0,0.0,0.0,0.4,0.0
dates,274.0,1.9,0.2,77.8,6.4
biryani,202.4,8.6,6.9,28.2,0.8
chicken tikka,196.8,25.1,9.2,2.1,0.3
fish,136.4,19.8,5.9,0.0,0.0
chicken breast,168.9,31.2,3.6,0.0,0.0
cereal,156.0,3.1,2.0,30.3,2.6
beef pulao,208.9,14.7,6.9,25.4,0.8
potato,73.5,1.9,0.1,17.2,2.3
watermelon,28.6,0.6,0.2,7.8,0.4
caesar salad,192.2,6.7,13.4,10.5,1.9
mutton biryani,233.7,16.2,10.4,27.1,0.8
caesar salad,192.8,7.3,13.6,10.5,1.9
broccoli,34.1,2.8,0.4,6.8,2.6
shawarma,231.8,18.4,11.0,16.8,1.2
raita,60.3,3.0,3.3,4.3,0.0
fish,134.4,20.0,6.1,0.0,0.0
french fries,312.9,3.5,15.3,40.8,3.7
fish,138.5,19.6,6.0,0.0,0.0
soup,72.8,4.0,2.0,10.2,1.5
egg,149.2,13.2,10.6,1.1,0.0
fish,142.0,19.9,6.3,0.0,0.0
honey,314.6,0.3,0.0,85.3,0.2
lentil soup,131.9,7.6,2.4,19.4,4.9
saag,58.7,3.7,3.1,5.8,2.6
cereal,146.5,3.1,2.0,29.2,2.4
cottage cheese,101.7,10.9,4.4,3.4,0.0
onion,38.1,1.1,0.1,9.6,1.7
grilled chicken,162.8,29.9,3.5,0.0,0.0
soup,73.4,4.0,2.1,9.5,1.6
saag,59.8,3.6,3.1,5.9,2.6
chicken wings,298.4,27.5,19.1,0.0,0.0
avocado toast,233.6,6.1,15.7,21.4,6.1
apple,53.7,0.3,0.2,14.3,2.3
raita,62.5,2.9,3.4,4.3,0.0
butter chicken,247.8,22.0,13.5,5.9,0.5
carrot,41.4,0.9,0.2,9.9,2.8
honey,317.1,0.3,0.0,81.6,0.2
omelette,151.2,10.9,10.8,1.6,0.0
chicken karahi,214.6,20.1,13.3,3.1,0.5
falafel,328.5,12.7,17.3,30.4,6.0
fish,133.8,19.9,5.8,0.0,0.0
lentil soup,132.9,7.9,2.6,19.2,4.8
kheer,151.9,4.0,4.8,21.1,0.2
naan,311.9,9.3,5.8,55.2,2.0
chai,39.8,1.6,2.0,4.3,0.0
grilled salmon,215.6,19.2,12.6,0.0,0.0
chai,39.5,1.6,2.0,4.7,0.0
mutton biryani,222.8,15.5,9.8,27.2,0.8
burger,284.5,16.4,14.7,23.9,1.5
boiled eggs,152.6,13.1,11.0,1.1,0.0
falafel,346.7,13.2,17.4,32.7,6.3
sweet potato,89.2,1.7,0.1,20.7,3.0
kidney beans,132.5,8.9,0.5,22.0,6.6
sandwich,245.3,12.1,9.2,32.4,2.0
broccoli,32.7,2.9,0.4,6.5,2.7
paratha,313.2,7.4,13.5,45.0,2.1
nihari,186.0,15.0,11.2,4.0,0.5
broccoli,34.2,2.9,0.4,6.3,2.6
soup,72.2,4.0,2.0,10.4,1.5
mango,57.9,0.8,0.4,14.8,1.6
chicken tikka,192.9,24.5,8.6,1.9,0.3
steak,272.0,25.6,17.2,0.0,0.0
cereal,146.1,3.1,2.1,29.6,2.5
chicken wings,278.1,27.8,18.3,0.0,0.0
black tea,2.0,0.0,0.0,0.4,0.0
cereal,149.1,3.0,2.0,31.3,2.4
raita,60.4,2.9,3.4,4.4,0.0
hummus,173.6,8.3,10.4,15.9,5.9
honey,290.1,0.3,0.0,80.6,0.2
halwa,308.2,2.9,14.3,45.6,1.0
kofte,234.9,19.8,16.2,5.2,0.5
chicken biryani,213.4,13.6,8.1,25.0,0.9
mac and cheese,313.6,11.5,12.7,38.8,1.4
lentils,111.0,8.6,0.4,20.0,7.9
aloo paratha,314.9,7.2,13.0,43.8,2.3
grilled chicken,164.6,32.1,3.6,0.0,0.0
shami kebab,212.4,15.3,14.0,6.7,1.0
sweet potato,82.7,1.6,0.1,19.9,2.9
brown rice,114.0,2.7,0.9,24.2,1.8
sandwich,247.8,11.4,9.1,34.5,2.0
chickpeas,159.1,9.2,2.7,28.7,7.4
green tea,2.0,0.0,0.0,0.5,0.0
mutton biryani,230.4,15.5,9.9,27.5,0.8
oatmeal,153.3,6.2,3.3,26.6,4.1
chana,167.3,8.8,2.7,25.9,7.3
pancakes,233.9,5.8,7.1,36.4,1.5
grilled chicken,163.0,30.7,3.6,0.0,0.0
dates,281.5,1.9,0.2,78.0,6.7
cottage cheese,100.7,11.6,4.1,3.4,0.0
mutton,300.3,25.1,20.0,0.0,0.0
chana,167.9,8.8,2.6,26.8,7.8
palak paneer,220.1,11.7,14.9,8.3,3.1
sandwich,259.4,11.9,8.7,32.8,2.0
naan,307.9,8.9,5.7,56.3,2.1
protein shake,165.8,29.7,2.9,7.7,1.0
boiled eggs,161.6,13.3,10.7,1.0,0.0
chai,40.2,1.5,2.0,4.5,0.0
jalebi,391.9,2.0,9.8,68.8,0.3
paratha,312.0,7.6,13.8,42.2,2.2
raita,62.9,2.9,3.6,4.6,0.0
doner kebab,242.8,20.5,12.2,17.3,1.5
butter chicken,239.8,22.2,14.5,6.3,0.5
omelette,148.3,10.5,10.7,1.6,0.0
green tea,2.0,0.0,0.0,0.5,0.0
roti,273.8,7.8,3.8,53.6,2.6
french fries,321.6,3.6,14.4,40.2,4.0
honey,301.6,0.3,0.0,80.9,0.2
samosa,267.8,5.1,14.1,29.7,2.1
mutton,283.1,25.2,21.0,0.0,0.0
watermelon,28.9,0.6,0.2,7.5,0.4
sandwich,244.6,12.1,8.6,32.4,2.0
seekh kebab,209.0,18.8,15.3,2.1,0.5
chana masala,165.0,9.2,2.6,27.1,7.9
aloo paratha,327.3,7.1,13.0,46.9,2.4
kidney beans,126.9,9.1,0.5,23.7,6.1
bread,270.4,9.1,3.1,48.2,2.6
kheer,148.8,4.0,4.8,21.5,0.2
apple,54.3,0.3,0.2,14.3,2.4
chicken biryani,207.3,14.3,8.3,25.0,0.9
caesar salad,182.1,7.0,14.5,11.2,2.0
cereal,143.2,3.1,2.0,29.8,2.5
qorma,262.2,17.2,16.2,7.7,0.5
burger,283.7,17.4,13.9,25.0,1.5
pancakes,230.1,5.7,6.7,34.6,1.6
raita,62.5,3.0,3.7,4.5,0.0
carrot,41.7,0.9,0.2,10.1,2.8
chicken biryani,219.0,14.1,7.9,25.9,0.9
chicken tikka,192.6,26.1,9.3,2.1,0.3
shawarma,221.8,17.5,11.3,16.4,1.1
raita,60.2,3.1,3.4,4.5,0.0
biryani,208.1,9.1,7.1,29.0,0.8
milk,61.5,3.1,3.3,4.7,0.0
cereal,151.1,3.0,2.0,30.7,2.6
paneer,262.1,19.2,20.1,1.3,0.0
orange juice,113.6,1.6,0.5,26.8,0.5
saag,61.2,3.4,3.0,5.7,2.5
boiled eggs,153.8,13.4,10.7,1.1,0.0
kofte,245.8,18.6,15.2,5.1,0.5
almonds,557.0,21.7,49.5,20.5,12.7
tomato,18.2,0.9,0.2,3.8,1.1
aloo gosht,181.6,12.4,10.1,8.6,1.3
aloo paratha,328.3,6.8,12.6,46.7,2.3
pasta,209.1,7.7,4.8,37.9,2.5
mutton,289.2,25.4,21.9,0.0,0.0
egg,162.1,12.5,11.2,1.1,0.0
peanuts,555.2,27.0,48.7,15.9,8.7
grilled salmon,208.7,20.2,12.8,0.0,0.0
qorma,258.4,18.2,16.4,8.0,0.5
potato,80.5,2.0,0.1,16.7,2.1
chickpeas,169.5,9.1,2.6,26.6,7.3
pancakes,233.4,5.7,7.2,34.2,1.5
lentil soup,135.4,7.6,2.5,19.3,5.1
butter chicken,248.2,21.4,13.4,5.8,0.5
watermelon,29.0,0.6,0.2,8.0,0.4
egg,156.3,12.9,11.1,1.1,0.0
roti,271.3,7.8,3.5,52.0,2.6
french fries,319.8,3.5,14.4,39.8,3.8
protein shake,167.0,30.3,3.0,8.1,1.0
kidney beans,121.6,8.9,0.5,22.7,6.2
pizza slice,269.8,10.8,9.6,31.6,2.4
banana,91.7,1.1,0.3,22.4,2.5
avocado toast,241.5,5.8,14.6,22.1,6.3
dahi,61.5,3.3,3.3,4.5,0.0
pide,297.4,11.1,9.0,40.6,2.0
paneer,274.3,17.5,21.8,1.2,0.0
palak paneer,211.0,12.5,14.3,8.2,2.9
peanut butter toast,281.3,9.8,13.3,25.6,2.9
burger,298.1,17.6,14.2,25.1,1.5
turkish bread,279.5,8.7,3.4,50.1,2.1
milk,61.9,3.1,3.3,5.0,0.0
spinach,22.5,2.9,0.4,3.8,2.2
egg,148.3,13.2,11.3,1.1,0.0
milk,61.0,3.2,3.4,4.6,0.0
greek yogurt,104.4,16.8,0.7,5.8,0.0
mango,59.0,0.8,0.4,14.9,1.7
mac and cheese,305.1,12.2,13.2,41.5,1.4
peanut butter toast,281.5,10.2,14.5,25.3,2.9
chai,40.1,1.5,2.1,4.5,0.0
cereal,151.1,3.0,2.1,31.2,2.6
hummus,181.4,7.8,10.2,16.7,6.2
turkish bread,270.8,8.9,3.4,50.3,2.0
nihari,185.2,14.9,11.5,4.0,0.5
protein shake,156.0,31.2,3.1,8.0,1.0
cottage cheese,100.6,11.3,4.1,3.4,0.0
whole wheat bread,252.4,13.1,4.1,39.3,7.0
chapli kebab,284.1,18.3,19.5,5.0,0.5
mixed vegetables,55.6,2.5,0.5,10.3,3.4
peanuts,574.1,24.6,47.8,16.0,8.8
falafel,332.3,13.2,17.6,31.7,6.0
chapli kebab,279.8,18.4,19.2,5.2,0.5
samosa,273.1,4.8,14.5,29.7,2.1
paye,189.6,16.6,12.0,2.1,0.0
nihari,181.2,15.3,11.3,3.8,0.5
naan,304.8,8.6,6.0,55.7,2.0
chana masala,157.2,8.5,2.7,26.3,7.6
nihari,186.7,14.9,11.0,4.0,0.5
jalebi,371.4,2.0,9.7,67.7,0.3
protein shake,163.1,31.0,3.1,8.1,1.0
grilled salmon,209.3,19.2,13.1,0.0,0.0
shami kebab,216.8,16.6,14.7,7.0,1.0
ayran,56.3,3.1,2.5,4.9,0.0
lentil soup,125.0,7.7,2.4,19.2,5.2
chicken tikka,186.6,25.3,8.9,2.0,0.3
turkish bread,261.7,9.3,3.3,54.4,2.0
mixed vegetables,53.7,2.5,0.5,9.6,3.5
chicken karahi,218.3,20.7,12.7,3.0,0.5
paneer,252.7,18.0,20.7,1.2,0.0
tomato,18.2,0.9,0.2,3.9,1.2
almonds,590.3,22.0,48.9,21.6,12.4
whole wheat bread,257.8,13.0,4.2,41.3,7.0
jalebi,381.8,2.1,9.6,70.2,0.3
grilled salmon,209.9,19.1,13.5,0.0,0.0
chicken biryani,205.6,13.8,7.7,26.0,0.9
ayran,53.2,3.0,2.5,5.2,0.0
chapli kebab,270.1,18.2,20.5,5.2,0.5
saag,61.9,3.5,3.0,6.0,2.4
palak paneer,224.9,11.9,15.7,7.7,3.1
lentils,121.7,8.6,0.4,19.8,7.9
beef tacos,228.3,11.5,10.6,19.4,3.0
almonds,603.2,21.8,51.1,21.3,12.6
mutton biryani,231.0,15.6,9.9,27.9,0.8
tomato,18.5,0.9,0.2,3.9,1.2
honey,298.3,0.3,0.0,79.3,0.2
jalebi,392.3,2.0,10.3,64.9,0.3
ayran,54.8,2.9,2.5,5.1,0.0
mango,59.2,0.8,0.4,15.4,1.6
grilled chicken,166.9,30.6,3.6,0.0,0.0
egg,156.0,12.8,10.8,1.1,0.0
naan,332.7,8.6,5.8,55.7,2.1
pide,284.0,10.9,9.1,40.0,1.9
broccoli,34.4,2.8,0.4,6.9,2.5
chana,164.0,8.8,2.7,25.9,7.6
omelette,153.5,11.4,10.8,1.7,0.0
saag,59.3,3.6,3.0,6.0,2.5
milk,63.8,3.1,3.4,4.6,0.0
lentil soup,131.1,8.2,2.6,19.3,4.9
bread,277.7,8.6,3.4,48.2,2.7
steak,273.9,25.5,17.7,0.0,0.0
baklava,345.9,5.0,17.3,40.4,1.5
kofte,243.7,19.7,15.5,5.0,0.5
banana,91.6,1.0,0.3,23.7,2.6
grilled chicken,159.7,32.1,3.8,0.0,0.0
dates,285.5,1.8,0.2,75.5,7.0
mutton,302.8,26.0,20.7,0.0,0.0
greek yogurt,95.2,17.3,0.7,6.2,0.0
egg,161.9,12.6,11.5,1.1,0.0
paratha,310.5,7.3,14.0,44.5,2.0
beef pulao,206.2,14.4,7.1,25.2,0.8
banana,88.0,1.1,0.3,22.8,2.5
mixed vegetables,57.3,2.5,0.5,10.4,3.5
boiled eggs,151.3,13.5,10.9,1.1,0.0
french fries,315.7,3.3,14.6,40.0,3.7
halwa puri,378.2,5.8,17.7,47.8,1.5
kheer,148.3,3.9,4.9,21.1,0.2
honey,317.0,0.3,0.0,82.4,0.2
biryani,204.1,8.9,7.2,29.3,0.8
boiled eggs,157.5,12.8,10.8,1.1,0.0
mango,58.2,0.8,0.4,15.7,1.6
kheer,144.1,3.8,4.9,21.7,0.2
carrot,39.9,0.9,0.2,9.8,2.8
orange,45.4,0.9,0.1,12.2,2.3
spinach,23.7,2.9,0.4,3.6,2.3
turkish bread,261.8,8.7,3.4,49.6,2.1
lentil soup,128.1,8.1,2.4,20.8,5.2
honey,307.4,0.3,0.0,78.5,0.2
kidney beans,131.5,8.6,0.5,22.9,6.4
chicken breast,167.8,32.0,3.5,0.0,0.0
chana,160.9,9.1,2.7,26.0,7.8
daal,112.8,7.7,0.4,20.1,7.7
hummus,175.9,8.3,9.7,15.8,6.0
paneer,268.0,17.7,20.3,1.3,0.0
aloo gosht,168.0,13.4,9.5,9.0,1.3
beef pulao,205.9,14.0,6.9,25.5,0.8
honey,293.9,0.3,0.0,85.4,0.2
turkish bread,283.5,8.7,3.6,50.6,1.9
cereal,147.8,3.0,2.0,30.6,2.4
spinach,23.8,3.0,0.4,3.7,2.1
fish,134.2,20.1,5.7,0.0,0.0
baklava,342.1,5.2,17.4,41.5,1.4
spinach,23.9,2.9,0.4,3.8,2.2
nihari,186.7,14.9,11.2,4.2,0.5
whole wheat bread,256.0,12.9,4.0,39.8,6.8
kheer,147.8,4.2,5.0,22.4,0.2
halwa puri,369.9,5.7,18.7,48.3,1.6
ayran,56.0,3.1,2.6,5.2,0.0
palak paneer,224.4,12.2,14.4,7.7,2.9
peanut butter toast,265.5,10.3,13.5,26.1,3.1
egg,151.1,12.6,11.3,1.1,0.0
dahi,59.3,3.7,3.4,4.6,0.0
samosa,261.6,5.0,13.7,31.8,2.1
burger,299.2,17.2,14.4,23.1,1.5
almonds,602.8,20.2,47.8,21.3,12.4
sandwich,246.3,12.3,9.4,33.9,2.1
chicken biryani,208.2,13.7,8.3,26.8,0.9
lentils,116.5,8.9,0.4,20.1,8.1
biryani,194.9,9.0,7.1,27.7,0.8
kheer,157.0,3.9,5.1,22.0,0.2
potato,73.5,2.0,0.1,16.4,2.3
soup,74.1,4.2,1.9,10.4,1.5
tomato,17.8,0.9,0.2,3.9,1.2
qorma,257.0,18.4,15.4,7.9,0.5
steak,265.4,27.1,18.3,0.0,0.0
orange juice,116.7,1.7,0.5,26.1,0.5
orange juice,114.4,1.7,0.5,26.1,0.5
aloo paratha,323.3,7.2,13.3,46.7,2.3
avocado toast,232.6,6.1,14.5,21.3,5.8
pizza slice,270.2,10.9,10.5,33.3,2.2
shami kebab,211.6,15.6,14.1,7.3,1.0
falafel,332.1,13.5,17.3,31.0,6.3
butter chicken,244.7,22.1,13.4,6.1,0.5
sweet potato,87.4,1.6,0.1,19.1,3.1
beef tacos,221.0,12.3,10.8,19.8,3.1
chicken wings,294.8,26.5,19.0,0.0,0.0
aloo paratha,329.7,6.8,12.8,47.8,2.4
greek yogurt,95.8,17.6,0.7,6.1,0.0
soup,73.4,4.1,2.1,10.1,1.5
apple,50.0,0.3,0.2,14.5,2.3
brown rice,110.3,2.7,0.9,23.7,1.7
grilled chicken,159.4,29.9,3.5,0.0,0.0
raita,62.1,3.0,3.6,4.6,0.0
samosa,263.7,5.1,14.2,32.1,2.2
turkish bread,267.6,8.7,3.6,53.4,2.1
paneer,265.7,19.0,20.5,1.2,0.0
dates,274.7,1.9,0.2,72.6,6.5
raita,59.8,3.1,3.4,4.6,0.0
boiled eggs,154.3,13.2,10.7,1.1,0.0
chicken karahi,202.1,19.6,13.0,3.0,0.5
honey,312.4,0.3,0.0,83.1,0.2
green tea,1.9,0.0,0.0,0.5,0.0
chana masala,170.5,9.1,2.7,26.5,7.3
chicken breast,172.2,31.6,3.5,0.0,0.0
dal makhani,184.6,8.7,7.9,19.8,4.8
paneer,269.6,18.3,21.0,1.3,0.0
oatmeal,153.2,6.0,3.2,26.3,4.0
broccoli,34.8,2.7,0.4,6.6,2.5
watermelon,30.0,0.6,0.2,7.8,0.4
paye,192.7,16.2,12.6,1.9,0.0
beef pulao,204.2,13.7,6.7,25.8,0.8
chicken karahi,210.0,19.6,12.4,3.1,0.5
mixed vegetables,57.4,2.5,0.5,10.4,3.4
pancakes,221.9,6.1,7.0,36.0,1.5
pizza slice,269.2,10.8,9.9,32.6,2.4
orange,47.3,0.9,0.1,11.8,2.5
chicken tikka,199.2,25.7,8.7,2.0,0.3
cottage cheese,96.3,10.7,4.5,3.5,0.0
grilled chicken,163.4,29.8,3.5,0.0,0.0
shami kebab,209.8,15.2,13.4,7.0,1.0
mutton biryani,219.0,16.5,9.6,26.9,0.8
soup,73.3,4.2,2.0,9.7,1.5
baklava,326.5,5.1,17.7,38.6,1.5
qorma,244.0,17.7,16.3,8.1,0.5
almonds,566.7,21.3,48.5,21.4,12.5
soup,77.5,4.1,2.0,10.0,1.4
mac and cheese,330.2,12.3,12.9,39.6,1.4
chapli kebab,284.1,17.4,19.4,5.2,0.5
daal,117.5,8.1,0.4,19.9,7.9
onion,41.4,1.1,0.1,9.0,1.7
samosa,249.6,5.2,14.5,30.3,2.1
bread,274.0,9.0,3.3,47.4,2.8
saag,60.0,3.7,3.1,6.1,2.6
saag,60.3,3.5,3.1,5.8,2.5
mac and cheese,313.8,12.0,12.6,38.1,1.5
shawarma,219.0,18.1,11.1,15.6,1.2
apple,53.2,0.3,0.2,14.5,2.4
bread,260.9,9.3,3.2,51.2,2.6
sandwich,254.5,12.4,9.1,34.5,2.0
roti,256.4,8.4,3.8,52.0,2.7
doner kebab,255.4,19.3,12.5,18.7,1.5
falafel,345.1,12.8,18.4,31.6,6.2
watermelon,30.2,0.6,0.2,7.6,0.4
raita,60.7,3.1,3.5,4.5,0.0
protein shake,163.8,29.4,3.1,8.0,1.0
paye,184.3,16.4,12.1,2.1,0.0
chana,167.5,8.5,2.7,28.1,7.6
white rice,129.6,2.7,0.3,29.3,0.4
pulao,184.1,5.8,5.0,28.8,0.8
dates,278.7,1.9,0.2,75.8,6.6
lassi,70.0,3.5,3.5,6.7,0.0
burger,309.0,16.5,14.3,23.2,1.5
chicken biryani,200.5,13.7,7.8,27.2,0.9
carrot,41.1,0.9,0.2,10.3,2.9
pizza slice,279.2,11.3,9.7,34.2,2.3
raita,60.0,3.0,3.6,4.5,0.0
sandwich,250.7,11.7,9.2,34.3,2.0
broccoli,34.7,2.9,0.4,6.5,2.5
turkish bread,264.5,9.4,3.7,54.0,2.0
protein shake,163.4,29.4,3.0,8.2,1.0
paye,192.7,16.5,11.6,2.0,0.0
naan,303.4,9.1,5.8,59.3,2.1
brown rice,115.2,2.6,0.9,22.3,1.8
carrot,40.3,0.9,0.2,10.0,2.9
roti,261.2,8.3,3.7,51.8,2.6
avocado toast,232.0,5.8,14.9,21.1,5.9
kofte,233.9,19.1,16.7,5.0,0.5
kidney beans,125.2,8.6,0.5,23.7,6.3
orange juice,106.7,1.7,0.5,25.9,0.5
butter chicken,232.7,22.7,13.7,6.2,0.5
samosa,267.3,4.9,13.8,29.5,2.3
brown rice,109.2,2.7,0.9,23.2,1.8
turkish bread,259.3,8.8,3.4,52.8,2.0
daal,121.0,8.0,0.4,19.2,8.3
falafel,327.5,13.0,18.0,32.5,5.9
sandwich,239.8,11.8,9.2,32.8,2.0
peanut butter toast,266.1,10.4,13.6,26.6,3.1
black tea,2.0,0.0,0.0,0.4,0.0
orange juice,107.9,1.8,0.5,26.2,0.5
kofte,235.5,18.3,16.4,4.9,0.5
doner kebab,242.0,20.0,11.9,18.9,1.5
sweet potato,88.2,1.6,0.1,19.8,3.1
seekh kebab,211.0,19.4,15.2,2.1,0.5
mutton,279.6,24.3,20.5,0.0,0.0
lassi,72.2,3.6,3.6,6.7,0.0
greek yogurt,99.4,16.7,0.7,6.0,0.0
watermelon,30.9,0.6,0.2,7.7,0.4
pasta,224.7,8.0,5.0,37.3,2.4
chai,39.4,1.5,2.1,4.4,0.0
steak,266.2,26.2,17.8,0.0,0.0
saag,57.9,3.6,2.9,5.9,2.4
french fries,316.6,3.3,14.5,42.4,3.8
almonds,556.0,20.3,50.4,21.7,12.8
carrot,40.3,0.9,0.2,10.0,2.9
chicken karahi,219.3,19.3,13.2,3.1,0.5
saag,59.5,3.6,3.1,6.3,2.5
chicken wings,302.2,27.3,18.1,0.0,0.0
peanuts,580.1,25.6,47.5,15.7,8.4
whole wheat bread,244.9,13.2,4.4,39.5,6.9
shawarma,224.4,17.8,11.4,15.8,1.1
grilled salmon,202.9,19.2,12.5,0.0,0.0
pancakes,232.2,5.9,7.2,34.3,1.5
shawarma,232.1,18.8,11.1,15.8,1.1
turkish bread,262.6,8.6,3.4,51.5,2.1
nihari,185.6,14.8,11.2,4.1,0.5
burger,285.6,17.6,14.6,24.9,1.5
roti,269.4,7.6,3.6,51.9,2.6
black tea,2.1,0.0,0.0,0.4,0.0
chicken wings,290.5,28.2,18.8,0.0,0.0
doner kebab,252.5,19.6,12.6,17.3,1.6
omelette,149.0,11.3,11.2,1.5,0.0
dal makhani,182.0,9.2,8.3,20.4,5.1
mutton,294.2,24.6,20.0,0.0,0.0
caesar salad,183.7,6.7,13.9,10.6,2.1
mango,62.0,0.8,0.4,14.8,1.6
naan,309.6,9.3,6.0,56.6,2.1
greek yogurt,97.3,17.4,0.7,6.0,0.0
egg,152.2,12.9,11.1,1.1,0.0
chapli kebab,291.1,17.1,20.6,4.9,0.5
boiled eggs,162.3,12.8,11.0,1.1,0.0
kofte,235.2,19.3,15.6,4.9,0.5
kheer,142.9,3.9,4.8,22.2,0.2
lassi,67.0,3.4,3.6,6.4,0.0
almonds,568.1,20.3,48.0,21.7,12.8
fish,136.2,19.4,5.9,0.0,0.0
caesar salad,192.8,6.8,14.5,11.3,1.9
jalebi,383.3,2.0,10.2,68.9,0.3
soup,71.3,3.9,2.0,9.9,1.5
sandwich,260.1,12.1,8.7,33.6,2.0
whole wheat bread,250.0,12.7,4.1,39.5,7.3
apple,50.8,0.3,0.2,14.2,2.4
watermelon,30.8,0.6,0.2,7.7,0.4
daal,113.9,8.4,0.4,20.0,8.3
pizza slice,276.8,10.9,10.2,32.9,2.2
lentils,114.8,8.8,0.4,20.5,7.9
chicken biryani,212.1,14.2,7.9,26.5,0.9
onion,39.9,1.1,0.1,9.6,1.7
palak paneer,221.2,12.1,14.7,7.8,2.9
mutton,297.3,24.0,21.5,0.0,0.0
brown rice,116.2,2.5,0.9,22.9,1.8
potato,80.4,2.0,0.1,16.5,2.2
paratha,335.6,7.3,13.3,41.7,2.1
chicken tikka,183.8,24.0,9.2,2.0,0.3
chickpeas,170.1,9.2,2.6,27.4,7.9
ayran,55.2,3.0,2.5,4.8,0.0
lentils,114.2,9.1,0.4,19.2,7.6
chai,40.7,1.6,1.9,4.5,0.0
qorma,246.1,18.3,15.8,8.3,0.5
chickpeas,166.4,8.9,2.7,27.1,7.4
halwa,334.8,3.1,14.6,50.4,1.0
kofte,235.4,18.5,15.7,5.0,0.5
dahi,59.3,3.5,3.2,4.5,0.0
almonds,578.6,21.0,49.6,22.2,11.9
whole wheat bread,245.5,13.0,4.4,40.9,7.2
steak,274.9,25.6,18.6,0.0,0.0
pancakes,232.3,6.0,7.2,34.3,1.4
beef pulao,218.0,13.5,7.3,26.9,0.8
daal,117.6,8.0,0.4,19.7,7.8
chicken biryani,216.5,14.6,8.2,26.9,0.9
paye,188.7,17.8,12.1,2.0,0.0
fish,140.3,20.6,5.9,0.0,0.0
beef pulao,207.3,13.9,7.0,26.8,0.8
turkish bread,270.5,8.6,3.5,52.7,2.1
spinach,22.1,2.9,0.4,3.5,2.3
carrot,39.6,0.9,0.2,9.7,2.8
pasta,222.1,8.0,4.9,38.0,2.5
turkish bread,268.5,9.2,3.6,49.5,1.9
paye,178.1,17.7,12.4,2.0,0.0
roti,272.1,8.2,3.7,55.5,2.7
oatmeal,151.1,5.7,3.1,27.9,3.8
paneer,255.2,18.3,20.3,1.2,0.0
mixed vegetables,52.9,2.4,0.5,10.3,3.3
chapli kebab,288.0,18.2,20.0,5.0,0.5
mac and cheese,311.8,12.2,13.4,39.5,1.5
kidney beans,131.3,8.6,0.5,23.6,6.2
protein shake,157.3,30.4,3.0,8.1,1.0
burger,282.9,17.5,13.6,23.3,1.6
butter chicken,234.3,21.4,14.2,6.0,0.5
beef tacos,214.9,11.8,11.2,20.8,3.0
jalebi,393.3,2.0,10.2,65.7,0.3
naan,329.8,9.3,5.8,56.6,2.0
turkish bread,282.2,8.8,3.6,52.8,2.0
peanut butter toast,283.0,10.4,14.1,26.3,2.9
pasta,230.4,8.3,4.9,38.6,2.5
sweet potato,86.4,1.6,0.1,20.6,3.0
lassi,72.3,3.6,3.3,6.4,0.0
saag,59.1,3.4,3.0,6.0,2.6
apple,52.0,0.3,0.2,14.4,2.3
onion,39.5,1.1,0.1,8.9,1.7
palak paneer,218.4,11.5,14.4,7.8,3.1
burger,303.5,16.6,14.1,23.5,1.6
paye,193.8,16.3,12.2,2.0,0.0
broccoli,35.2,2.7,0.4,6.5,2.6
paratha,333.7,7.4,14.6,44.3,2.2
qorma,251.9,18.1,16.8,8.1,0.5
apple,53.1,0.3,0.2,13.8,2.4
honey,306.0,0.3,0.0,84.7,0.2
pide,280.0,11.4,8.8,41.5,2.1
almonds,607.8,20.2,47.9,22.2,12.0
dal makhani,184.5,9.2,8.0,19.2,5.0
bread,256.6,8.9,3.1,50.7,2.8
caesar salad,189.6,6.9,14.6,10.7,2.0
ayran,56.1,3.1,2.4,4.8,0.0
caesar salad,184.6,7.2,13.6,10.6,1.9
biryani,206.6,8.8,6.7,26.7,0.8
milk,59.7,3.2,3.2,4.6,0.0
chicken biryani,216.8,14.5,8.2,26.1,0.9
roti,267.7,7.7,3.7,52.8,2.8
mutton biryani,229.3,15.4,9.7,27.9,0.8
dahi,57.1,3.4,3.2,4.8,0.0
